time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-22 00:00:00+00:00,1,1,8.0,5.0
2025-05-23 00:00:00+00:00,3,2,7.0,2.0
2025-05-24 00:00:00+00:00,2,2,1.0,1.0
2025-05-25 00:00:00+00:00,1,1,,
2025-05-26 00:00:00+00:00,6,4,21.0,4.0
2025-05-27 00:00:00+00:00,7,3,27.0,8.0
2025-05-28 00:00:00+00:00,14,6,71.0,6.0
2025-05-29 00:00:00+00:00,3,2,4.0,2.0
2025-05-30 00:00:00+00:00,1,1,3.0,2.0
2025-05-31 00:00:00+00:00,1,1,3.0,2.0
2025-06-01 00:00:00+00:00,1,1,5.0,1.0
2025-06-02 00:00:00+00:00,15,2,163.0,9.0
2025-06-03 00:00:00+00:00,2,2,33.0,8.0
2025-06-04 00:00:00+00:00,14,6,7.0,3.0
