time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,9,5,8,3
2026-03-31 00:00:00+00:00,10,6,2,2
2026-04-01 00:00:00+00:00,14,4,14,6
2026-04-02 00:00:00+00:00,9,5,7,5
2026-04-03 00:00:00+00:00,10,6,1,1
2026-04-04 00:00:00+00:00,12,7,0,0
2026-04-05 00:00:00+00:00,13,5,1,1
2026-04-06 00:00:00+00:00,8,4,1,1
2026-04-07 00:00:00+00:00,16,8,11,8
2026-04-08 00:00:00+00:00,22,9,24,5
2026-04-09 00:00:00+00:00,16,6,22,8
2026-04-10 00:00:00+00:00,18,6,16,6
2026-04-11 00:00:00+00:00,29,11,4,2
2026-04-12 00:00:00+00:00,9,4,3,2
