time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-26 00:00:00+00:00,25,3,92.0,4.0
2024-04-27 00:00:00+00:00,5,2,3.0,2.0
2024-04-28 00:00:00+00:00,6,3,,
2024-04-29 00:00:00+00:00,1,1,18.0,4.0
2024-04-30 00:00:00+00:00,1,1,17.0,6.0
2024-05-01 00:00:00+00:00,1,1,1.0,1.0
2024-05-02 00:00:00+00:00,1,1,38.0,3.0
2024-05-03 00:00:00+00:00,5,2,9.0,4.0
2024-05-04 00:00:00+00:00,3,2,1.0,1.0
2024-05-05 00:00:00+00:00,5,2,1.0,1.0
2024-05-06 00:00:00+00:00,4,3,4.0,4.0
2024-05-07 00:00:00+00:00,13,3,35.0,5.0
2024-05-08 00:00:00+00:00,7,2,56.0,5.0
2024-05-09 00:00:00+00:00,12,3,208.0,14.0
