time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-06 00:00:00+00:00,1,1,13.0,6.0
2025-05-07 00:00:00+00:00,3,2,12.0,9.0
2025-05-08 00:00:00+00:00,1,1,14.0,7.0
2025-05-09 00:00:00+00:00,6,3,8.0,6.0
2025-05-10 00:00:00+00:00,4,3,21.0,1.0
2025-05-11 00:00:00+00:00,1,1,1.0,1.0
2025-05-12 00:00:00+00:00,5,2,3.0,3.0
2025-05-13 00:00:00+00:00,5,2,57.0,8.0
2025-05-14 00:00:00+00:00,4,2,14.0,3.0
2025-05-15 00:00:00+00:00,1,1,6.0,3.0
2025-05-16 00:00:00+00:00,5,2,10.0,2.0
2025-05-17 00:00:00+00:00,2,2,7.0,1.0
2025-05-18 00:00:00+00:00,5,2,,
2025-05-19 00:00:00+00:00,2,1,2.0,2.0
