time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-15 00:00:00+00:00,,,1,1
2024-09-16 00:00:00+00:00,5.0,2.0,16,3
2024-09-17 00:00:00+00:00,1.0,1.0,4,3
2024-09-18 00:00:00+00:00,4.0,1.0,7,4
2024-09-19 00:00:00+00:00,,,3,2
2024-09-20 00:00:00+00:00,4.0,1.0,34,2
2024-09-21 00:00:00+00:00,1.0,1.0,2,2
2024-09-22 00:00:00+00:00,1.0,1.0,1,1
2024-09-24 00:00:00+00:00,6.0,3.0,19,3
2024-09-25 00:00:00+00:00,14.0,4.0,44,8
2024-09-26 00:00:00+00:00,,,15,3
2024-09-27 00:00:00+00:00,2.0,1.0,58,8
