time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,11,5,5,4
2026-08-08 00:00:00+00:00,4,4,0,0
2026-08-09 00:00:00+00:00,1,1,0,0
2026-08-10 00:00:00+00:00,2,2,1,1
2026-08-11 00:00:00+00:00,1,1,1,1
2026-08-12 00:00:00+00:00,10,4,0,0
2026-08-13 00:00:00+00:00,27,8,1,1
2026-08-14 00:00:00+00:00,14,6,2,2
2026-08-15 00:00:00+00:00,4,3,2,2
2026-08-16 00:00:00+00:00,3,2,13,3
2026-08-17 00:00:00+00:00,13,7,4,3
2026-08-18 00:00:00+00:00,10,3,29,7
2026-08-19 00:00:00+00:00,26,9,4,4
2026-08-20 00:00:00+00:00,1,1,19,2
