time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,6.0,3.0,39.0,2.0
2025-10-16 00:00:00+00:00,5.0,2.0,19.0,2.0
2025-10-17 00:00:00+00:00,14.0,4.0,13.0,4.0
2025-10-18 00:00:00+00:00,2.0,2.0,1.0,1.0
2025-10-19 00:00:00+00:00,14.0,5.0,,
2025-10-20 00:00:00+00:00,18.0,5.0,52.0,18.0
2025-10-21 00:00:00+00:00,18.0,5.0,25.0,8.0
2025-10-22 00:00:00+00:00,14.0,4.0,17.0,10.0
2025-10-23 00:00:00+00:00,9.0,4.0,30.0,10.0
2025-10-24 00:00:00+00:00,12.0,4.0,5.0,4.0
2025-10-25 00:00:00+00:00,3.0,3.0,,
2025-10-26 00:00:00+00:00,21.0,12.0,1.0,1.0
2025-10-27 00:00:00+00:00,2.0,2.0,9.0,7.0
2025-10-28 00:00:00+00:00,,,70.0,10.0
