time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-01 00:00:00+00:00,2,2,0,0
2026-01-02 00:00:00+00:00,14,6,0,0
2026-01-03 00:00:00+00:00,2,2,2,2
2026-01-04 00:00:00+00:00,14,6,0,0
2026-01-05 00:00:00+00:00,7,3,11,6
2026-01-06 00:00:00+00:00,31,12,50,6
2026-01-07 00:00:00+00:00,21,9,19,9
2026-01-08 00:00:00+00:00,10,5,13,7
2026-01-09 00:00:00+00:00,8,4,2,2
2026-01-10 00:00:00+00:00,7,3,4,4
2026-01-11 00:00:00+00:00,14,6,1,1
2026-01-12 00:00:00+00:00,13,7,2,2
2026-01-13 00:00:00+00:00,28,8,10,5
2026-01-14 00:00:00+00:00,5,3,5,3
