time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,8,6,2.0,2.0
2025-10-08 00:00:00+00:00,9,6,20.0,4.0
2025-10-09 00:00:00+00:00,3,2,23.0,6.0
2025-10-10 00:00:00+00:00,11,8,,
2025-10-11 00:00:00+00:00,8,5,3.0,3.0
2025-10-12 00:00:00+00:00,8,5,1.0,1.0
2025-10-13 00:00:00+00:00,6,3,,
2025-10-14 00:00:00+00:00,12,4,24.0,8.0
2025-10-15 00:00:00+00:00,6,3,39.0,2.0
2025-10-16 00:00:00+00:00,5,2,19.0,2.0
2025-10-17 00:00:00+00:00,14,4,13.0,4.0
2025-10-18 00:00:00+00:00,2,2,1.0,1.0
2025-10-19 00:00:00+00:00,14,5,,
2025-10-20 00:00:00+00:00,11,3,48.0,18.0
