time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,14,6,0,0
2026-07-23 00:00:00+00:00,11,5,2,2
2026-07-24 00:00:00+00:00,2,2,2,1
2026-07-25 00:00:00+00:00,8,3,1,1
2026-07-26 00:00:00+00:00,74,13,13,2
2026-07-27 00:00:00+00:00,20,6,18,4
2026-07-28 00:00:00+00:00,11,6,11,6
2026-07-29 00:00:00+00:00,20,11,4,4
2026-07-30 00:00:00+00:00,19,6,3,2
2026-07-31 00:00:00+00:00,15,6,4,3
2026-08-01 00:00:00+00:00,19,9,3,2
2026-08-02 00:00:00+00:00,12,4,0,0
2026-08-03 00:00:00+00:00,4,4,3,3
2026-08-04 00:00:00+00:00,12,6,3,3
