time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,11,5,5,5
2026-05-04 00:00:00+00:00,24,9,9,5
2026-05-05 00:00:00+00:00,68,21,12,3
2026-05-06 00:00:00+00:00,18,8,6,4
2026-05-07 00:00:00+00:00,27,10,8,5
2026-05-08 00:00:00+00:00,17,7,4,4
2026-05-09 00:00:00+00:00,31,10,11,11
2026-05-10 00:00:00+00:00,15,6,1,1
2026-05-11 00:00:00+00:00,2,2,11,4
2026-05-12 00:00:00+00:00,16,5,19,6
2026-05-13 00:00:00+00:00,82,18,62,6
2026-05-14 00:00:00+00:00,15,6,4,2
2026-05-15 00:00:00+00:00,17,8,2,2
2026-05-16 00:00:00+00:00,13,4,1,1
