time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-10 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-11-11 00:00:00+00:00,1.0,1.0,,
2024-11-12 00:00:00+00:00,8.0,2.0,77.0,6.0
2024-11-13 00:00:00+00:00,,,15.0,7.0
2024-11-14 00:00:00+00:00,2.0,1.0,10.0,5.0
2024-11-15 00:00:00+00:00,,,5.0,4.0
2024-11-16 00:00:00+00:00,5.0,2.0,1.0,1.0
2024-11-17 00:00:00+00:00,,,1.0,1.0
2024-11-18 00:00:00+00:00,,,8.0,6.0
2024-11-19 00:00:00+00:00,1.0,1.0,26.0,5.0
2024-11-20 00:00:00+00:00,9.0,3.0,54.0,4.0
2024-11-21 00:00:00+00:00,23.0,3.0,91.0,7.0
2024-11-22 00:00:00+00:00,22.0,5.0,61.0,5.0
2024-11-23 00:00:00+00:00,,,4.0,2.0
