time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,,,9,4
2024-10-12 00:00:00+00:00,1.0,1.0,26,4
2024-10-13 00:00:00+00:00,2.0,1.0,1,1
2024-10-15 00:00:00+00:00,1.0,1.0,32,7
2024-10-16 00:00:00+00:00,2.0,1.0,68,8
2024-10-17 00:00:00+00:00,7.0,2.0,98,10
2024-10-18 00:00:00+00:00,2.0,1.0,18,7
2024-10-19 00:00:00+00:00,8.0,3.0,15,3
2024-10-21 00:00:00+00:00,1.0,1.0,5,4
2024-10-22 00:00:00+00:00,,,23,6
2024-10-23 00:00:00+00:00,,,14,4
2024-10-24 00:00:00+00:00,1.0,1.0,6,2
