time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-23 00:00:00+00:00,3,2,14,1
2025-02-24 00:00:00+00:00,6,3,12,6
2025-02-25 00:00:00+00:00,10,3,15,5
2025-02-26 00:00:00+00:00,9,4,7,1
2025-02-27 00:00:00+00:00,2,2,24,8
2025-02-28 00:00:00+00:00,3,2,18,3
2025-03-01 00:00:00+00:00,9,5,1,1
2025-03-02 00:00:00+00:00,9,4,2,2
2025-03-03 00:00:00+00:00,16,6,12,3
2025-03-04 00:00:00+00:00,5,4,17,3
2025-03-05 00:00:00+00:00,6,3,15,7
2025-03-06 00:00:00+00:00,1,1,47,13
2025-03-07 00:00:00+00:00,3,2,15,8
2025-03-08 00:00:00+00:00,1,1,3,2
