time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,4,4,1,1
2026-09-09 00:00:00+00:00,3,3,15,4
2026-09-10 00:00:00+00:00,15,14,21,3
2026-09-11 00:00:00+00:00,28,15,17,2
2026-09-12 00:00:00+00:00,10,5,5,3
2026-09-13 00:00:00+00:00,20,10,0,0
2026-09-14 00:00:00+00:00,8,7,40,9
2026-09-15 00:00:00+00:00,6,3,3,3
2026-09-16 00:00:00+00:00,5,4,7,4
2026-09-17 00:00:00+00:00,68,28,13,3
2026-09-18 00:00:00+00:00,11,9,3,3
2026-09-19 00:00:00+00:00,12,7,2,2
2026-09-20 00:00:00+00:00,14,7,0,0
2026-09-21 00:00:00+00:00,11,6,14,7
