time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,5,3,1.0,1.0
2025-04-15 00:00:00+00:00,1,1,15.0,11.0
2025-04-16 00:00:00+00:00,1,1,9.0,6.0
2025-04-17 00:00:00+00:00,19,4,31.0,7.0
2025-04-18 00:00:00+00:00,33,3,2.0,1.0
2025-04-19 00:00:00+00:00,6,5,6.0,4.0
2025-04-20 00:00:00+00:00,7,4,,
2025-04-21 00:00:00+00:00,8,4,,
2025-04-22 00:00:00+00:00,1,1,10.0,6.0
2025-04-23 00:00:00+00:00,11,4,6.0,4.0
2025-04-24 00:00:00+00:00,5,2,2.0,2.0
2025-04-25 00:00:00+00:00,6,3,4.0,4.0
2025-04-26 00:00:00+00:00,2,2,,
