time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-19 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-01-20 00:00:00+00:00,1.0,1.0,47.0,2.0
2024-01-21 00:00:00+00:00,1.0,1.0,,
2024-01-22 00:00:00+00:00,4.0,3.0,,
2024-01-23 00:00:00+00:00,3.0,2.0,15.0,5.0
2024-01-24 00:00:00+00:00,1.0,1.0,15.0,4.0
2024-01-25 00:00:00+00:00,1.0,1.0,6.0,1.0
2024-01-26 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-01-27 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-01-28 00:00:00+00:00,1.0,1.0,2.0,1.0
2024-01-29 00:00:00+00:00,4.0,3.0,6.0,3.0
2024-01-30 00:00:00+00:00,13.0,2.0,34.0,5.0
2024-01-31 00:00:00+00:00,2.0,2.0,15.0,5.0
2024-02-01 00:00:00+00:00,,,1.0,1.0
