PHARE DE NOOTKA: CYCLE ANNUEL DE LA TEMPÉRATURE ET DE LA SALINITÉ DE SURFACE DE LA MER. MOYENNES CALCULÉES AVEC UNE BASE DE TEMPS DE 1956 À 1991,,,,,,,,,,,,,,,,,,,,,,
,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,,,,,,,
Moyenne de la Température (C),7.2,6.8,7.8,10.1,12.3,13.8,15.3,15.9,15.0,12.2,9.4,7.8,,,,,,,,,,
Déviation Standard de la Température,0.56,0.76,0.73,0.47,0.23,0.48,0.63,0.80,0.69,0.38,0.38,0.45,,,,,,,,,,
Moyenne de la Salinité (USP),26.5,25.7,27.5,26.2,27.6,28.4,30.1,31.0,30.9,28.5,23.0,24.7,,,,,,,,,,
Déviation Standard de la Salinité,0.67,3.07,0.99,1.13,1.69,1.70,0.74,1.34,1.44,2.81,1.73,1.26,,,,,,,,,,
