PHARE DE ROCHERS RACE: CYCLE ANNUEL DE LA TEMPÉRATURE ET DE LA SALINITÉ DE SURFACE DE LA MER. MOYENNES CALCULÉES AVEC UNE BASE DE TEMPS DE 1956 À 1991,,,,,,,,,,,,,,,,,,,,,,
,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,,,,,,,
Moyenne de la Température (C),7.3,7.3,7.7,8.4,9.3,10.0,10.7,10.9,10.5,9.7,8.7,7.9,,,,,,,,,,
Déviation Standard de la Température,0.54,0.65,0.62,0.53,0.51,0.56,0.56,0.57,0.47,0.38,0.56,0.52,,,,,,,,,,
Moyenne de la Salinité (USP),31.0,31.0,31.0,31.2,31.4,31.3,31.1,31.2,31.3,31.5,31.4,31.1,,,,,,,,,,
Déviation Standard de la Salinité,0.33,0.30,0.36,0.36,0.32,0.41,0.48,0.44,0.36,0.39,0.33,0.34,,,,,,,,,,
