ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT RACE ROCKS. AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),7.3,7.3,7.7,8.4,9.3,10.0,10.7,10.9,10.5,9.7,8.7,7.9,,,,,,,,,,
Temperature Standard Deviation,0.54,0.65,0.62,0.53,0.51,0.56,0.56,0.57,0.47,0.38,0.56,0.52,,,,,,,,,,
Salinity average (PSU),31.0,31.0,31.0,31.2,31.4,31.3,31.1,31.2,31.3,31.5,31.4,31.1,,,,,,,,,,
Salinity Standard Deviation,0.33,0.30,0.36,0.36,0.32,0.41,0.48,0.44,0.36,0.39,0.33,0.34,,,,,,,,,,
