ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT DEPARTURE BAY (PBS) AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),6.3,6.5,7.4,9.3,12.4,15.3,17.3,17.3,14.8,11.4,8.7,7.1,,,,,,,,,,
Temperature Standard Deviation,0.62,0.68,0.60,0.58,0.77,1.05,0.95,1.02,0.84,0.69,0.53,0.61,,,,,,,,,,
Salinity average (PSU),26.3,26.2,26.7,27.1,25.9,22.8,22.4,24.4,25.9,26.9,26.4,25.9,,,,,,,,,,
Salinity Standard Deviation,1.22,1.47,1.12,1.03,1.19,1.73,1.60,1.15,1.33,0.96,1.32,1.12,,,,,,,,,,
