ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT MCINNES ISLAND. AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),6.5,6.4,6.7,7.7,9.4,11.4,12.9,13.5,12.8,10.6,8.5,7.4,,,,,,,,,,
Temperature Standard Deviation,0.79,0.83,0.75,0.67,0.68,0.61,0.63,0.64,0.75,0.61,0.73,0.62,,,,,,,,,,
Salinity average (PSU),30.4,30.5,30.6,30.5,30.6,30.4,30.1,30.3,30.1,30.0,29.6,30.2,,,,,,,,,,
Salinity Standard Deviation,0.63,0.60,0.60,0.72,0.66,0.75,0.85,0.80,0.77,0.68,0.65,0.66,,,,,,,,,,
