AMPHITRITE POINT LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1994,8.52,7.61,8.50,9.78,11.01,11.96,12.73,14.17,13.11,11.14,9.05,7.91
1995,7.57,8.36,8.77,9.88,11.13,11.64,13.35,13.36,13.43,12.00,10.41,9.51
1996,8.55,8.28,8.73,10.32,11.48,12.39,13.89,13.56,13.14,11.49,9.23,7.98
1997,8.05,8.30,8.28,10.09,12.20,13.49,13.43,14.94,16.08,13.92,11.77,9.74
1998,8.44,9.65,9.79,10.39,11.33,12.39,12.92,13.31,13.05,11.76,10.47,8.90
1999,8.16,7.60,7.90,8.87,9.72,10.83,11.84,12.91,12.41,10.71,9.69,8.94
2000,7.51,7.65,8.42,9.62,10.84,11.62,12.54,13.36,12.73,11.00,9.31,7.80
2001,7.74,7.35,8.16,9.14,10.14,10.98,11.72,12.59,12.29,10.56,9.37,8.42
2002,7.98,7.55,7.60,9.30,10.00,11.79,12.95,13.53,12.36,10.83,9.61,9.23
2003,9.24,8.86,9.13,9.96,10.79,11.95,13.10,13.43,12.69,11.68,9.59,8.62
2004,7.86,8.19,8.87,10.42,11.38,12.56,13.60,14.26,13.28,11.91,10.20,8.83
2005,7.73,7.90,9.18,10.13,12.35,12.75,13.10,13.17,13.06,11.82,10.33,8.62
2006,9.36,7.17,8.24,9.50,10.82,12.77,12.69,12.99,12.53,10.93,9.26,8.33
2007,7.45,7.66,8.06,9.33,9.97,11.49,13.88,13.99,12.57,10.89,9.45,7.58
2008,7.82,7.86,8.26,9.13,10.65,11.24,12.45,13.79,13.51,11.45,10.70,8.73
2009,7.64,7.59,7.96,9.62,11.01,12.12,13.44,14.20,13.95,12.02,10.70,8.71
2010,9.15,9.30,9.43,10.20,10.78,11.81,12.71,13.12,12.65,11.49,9.88,8.24
2011,7.59,8.04,8.95,9.66,10.82,11.83,12.40,13.53,13.41,12.62,9.76,8.52
2012,7.57,7.46,7.35,9.34,10.34,11.13,12.80,13.37,13.11,10.54,10.08,9.10
2013,7.54,8.07,7.93,9.00,10.94,12.34,13.14,13.52,14.27,13.18,9.05,7.33
2014,7.60,6.98,8.58,10.13,12.34,11.76,12.76,13.51,14.09,13.99,11.64,9.70
2015,9.43,10.11,10.16,10.99,11.70,12.22,14.34,14.20,13.68,13.28,10.97,9.39
2016,8.59,9.34,9.98,11.11,11.78,12.53,13.31,13.96,12.93,12.07,12.01,9.27
2017,7.63,7.47,8.27,10.06,11.08,12.44,12.92,14.23,13.86,11.51,10.01,8.98
2018,8.52,8.38,8.56,10.06,11.38,12.16,13.79,13.93,12.97,12.00,10.60,9.07
2019,8.66,7.74,8.49,10.67,12.27,11.87,13.97,14.81,14.25,11.66,9.85,8.55
2020,8.35,8.46,8.62,9.69,12.09,11.91,13.03,14.26,14.12,12.54,9.94,8.80
2021,8.65,7.99,8.42,9.90,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
