PHARE DE L'ÎLE BONILLA: CYCLE ANNUEL DE LA TEMPÉRATURE ET DE LA SALINITÉ DE SURFACE DE LA MER. MOYENNES CALCULÉES AVEC UNE BASE DE TEMPS DE 1956 À 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Moyenne de la Température (C),6.3,6.3,6.8,7.7,9.3,11.0,12.2,12.3,11.8,10.6,8.6,7.3,,,,,,,,,,
Déviation Standard de la Température,0.90,0.93,0.80,0.67,0.62,0.64,0.67,0.70,0.93,0.62,0.80,0.80,,,,,,,,,,
Moyenne de la Salinité (USP),31.0,31.0,31.1,31.2,31.2,31.2,31.2,31.2,31.3,31.2,30.9,31.0,,,,,,,,,,
Déviation Standard de la Salinité,0.39,0.31,0.34,0.38,0.41,0.35,0.36,0.43,0.45,0.46,0.39,0.38,,,,,,,,,,
