ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT PINE ISLAND. AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),7.4,7.2,7.4,7.9,8.6,9.4,10.0,10.1,9.9,9.7,8.9,8.0,,,,,,,,,,
Temperature Standard Deviation,0.64,0.67,0.69,0.59,0.52,0.49,0.48,0.50,0.59,0.69,0.63,0.60,,,,,,,,,,
Salinity average (PSU),31.1,31.0,31.1,31.2,31.5,31.5,31.5,31.5,31.7,31.7,31.4,31.2,,,,,,,,,,
Salinity Standard Deviation,0.23,0.28,0.34,0.37,0.33,0.31,0.42,0.31,0.27,0.26,0.33,0.34,,,,,,,,,,
