PHARE DE POINTE AMPHITRITE: MOYENNES MENSUELLES DE LA SALINITÉ (USP) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1993,29.02,28.18,29.25,27.93,28.01,29.50,30.67,30.49,30.94,31.01,30.17,29.06
1994,28.17,28.74,27.54,29.29,30.08,30.06,31.19,31.53,30.64,30.43,29.29,28.42
1995,28.10,26.66,27.71,29.54,31.10,31.32,31.17,30.81,31.02,28.90,27.04,26.71
1996,27.22,28.54,28.59,28.41,30.19,31.68,31.68,31.88,31.04,29.93,29.13,29.09
1997,27.32,28.90,27.84,27.39,28.22,28.81,30.30,30.47,29.79,29.35,28.86,28.77
1998,28.81,28.66,29.00,30.37,31.31,31.18,31.12,31.69,31.56,30.29,29.53,27.77
1999,27.76,28.13,28.38,30.06,31.11,31.38,31.47,31.04,31.03,30.78,29.14,28.19
2000,28.90,28.84,29.42,30.74,29.08,30.83,31.67,31.25,31.00,30.23,30.29,29.63
2001,29.40,30.18,30.88,30.78,30.95,32.01,32.38,31.14,31.26,30.26,28.54,28.41
2002,27.77,27.53,29.49,30.03,31.19,30.86,31.07,31.16,30.75,31.50,28.48,29.51
2003,28.08,28.40,28.31,26.70,29.99,31.03,31.33,31.59,31.12,29.10,29.39,28.44
2004,27.74,28.31,28.68,29.51,30.67,31.20,31.49,31.19,30.50,29.77,27.67,28.27
2005,27.36,28.54,29.40,28.15,28.89,30.32,29.93,30.83,30.48,28.20,27.54,999.99
2006,26.87,25.47,28.99,28.41,30.70,30.16,31.10,31.47,30.82,30.95,29.88,28.04
2007,26.98,27.06,25.51,28.27,29.42,29.88,29.61,30.00,30.29,999.99,24.64,25.80
2008,26.09,26.98,25.87,27.25,28.12,999.99,31.57,31.09,31.21,29.49,27.85,28.52
2009,27.43,29.43,28.88,30.09,999.99,999.99,999.99,30.80,29.95,29.96,27.40,27.26
2010,27.44,27.04,28.56,28.28,29.48,29.56,30.13,30.30,29.49,31.58,27.70,28.73
2011,27.97,28.49,29.20,29.53,30.49,31.81,31.78,31.68,31.51,28.87,28.87,27.69
2012,27.56,27.26,28.02,26.94,28.74,29.55,30.04,30.17,30.06,29.37,28.21,27.75
2013,28.54,29.13,27.44,28.93,29.30,29.54,30.40,30.09,30.06,29.07,29.50,29.82
2014,29.04,29.33,28.47,27.56,28.12,30.59,30.60,31.09,30.71,30.32,28.00,28.54
2015,28.92,27.90,28.76,29.34,31.18,31.86,31.81,31.72,30.81,30.74,29.74,29.67
2016,29.79,27.43,28.82,30.31,31.62,31.76,31.70,31.54,30.90,29.93,27.92,29.68
2017,30.09,29.01,27.45,27.19,29.01,30.19,30.78,30.77,30.82,30.50,30.24,28.91
2018,29.14,28.32,28.79,28.42,30.06,30.54,30.77,31.13,29.71,30.28,27.88,28.03
2019,27.24,29.62,30.21,29.21,29.85,30.63,30.27,29.71,29.34,28.84,29.00,28.90
2020,27.95,27.62,28.77,29.25,28.76,29.39,29.32,28.84,29.04,28.52,28.20,27.46
2021,26.65,28.25,27.75,28.85,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
