ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT AMPHITRITE POINT AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),7.7,7.8,8.3,9.4,10.6,11.7,12.8,13.4,13.1,11.6,10.1,8.7,,,,,,,,,,
Temperature Standard Deviation,0.79,0.94,0.79,0.61,0.78,0.78,0.74,0.61,0.65,0.65,0.90,0.81,,,,,,,,,,
Salinity average (PSU),28.3,28.3,28.3,29.0,30.0,30.4,30.6,30.7,30.2,29.4,28.6,28.2,,,,,,,,,,
Salinity Standard Deviation,0.88,0.85,1.08,0.95,0.83,0.74,0.82,0.60,0.67,1.00,0.79,0.85,,,,,,,,,,
