"PHARE DE POINTE AMPHITRITE: CYCLE ANNUEL DE LA TEMPÉRATURE ET DE LA SALINITÉ DE SURFACE DE LA MER.
MOYENNES CALCULÉES AVEC UNE BASE DE TEMPS DE 1956 À 1991",,,,,,,,,,,,
,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
Moyenne de la Température (C),7.7,7.8,8.3,9.4,10.6,11.7,12.8,13.4,13.1,11.6,10.1,8.7
Déviation Standard de la Température,0.79,0.94,0.79,0.61,0.78,0.78,0.74,0.61,0.65,0.65,0.9,0.81
Moyenne de la Salinité (USP),28.3,28.3,28.3,29,30,30.4,30.6,30.7,30.2,29.4,28.6,28.2
Déviation Standard de la Salinité,0.88,0.85,1.08,0.95,0.83,0.74,0.82,0.6,0.67,1,0.79,0.85
