ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT ENTRANCE ISLAND. AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),6.80,6.80,7.50,9.10,12.10,14.80,16.90,17.10,14.60,11.30,9.00,7.60,,,,,,,,,,
Temperature Standard Deviation,0.60,0.64,0.56,0.64,0.82,1.09,0.98,1.10,0.93,0.68,0.47,0.51,,,,,,,,,,
Salinity average (PSU),27.80,27.80,28.00,28.00,26.60,23.90,23.00,24.60,26.20,27.50,27.60,27.80,,,,,,,,,,
Salinity Standard Deviation,0.81,0.93,0.78,0.69,0.82,1.58,1.54,1.42,1.38,1.01,0.79,0.82,,,,,,,,,,
