PHARE DE L’ÎLE CHROME: CYCLE ANNUEL DE LA TEMPÉRATURE ET DE LA SALINITÉ DE SURFACE DE LA MER. MOYENNES CALCULÉES AVEC UNE BASE DE TEMPS DE 1956 À 1991,,,,,,,,,,,,,,,,,,,,,,
,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,,,,,,,
Moyenne de la Température (C),7.0,7.1,7.6,9.0,11.6,14.7,16.7,16.9,14.3,11.2,9.0,7.8,,,,,,,,,,
Déviation Standard de la Température,0.70,0.70,0.62,0.69,0.77,1.19,1.01,1.11,0.87,0.58,0.53,0.52,,,,,,,,,,
Moyenne de la Salinité (USP),28.4,28.5,28.6,28.7,28.4,26.8,25.8,26.7,27.7,28.6,28.4,28.2,,,,,,,,,,
Déviation Standard de la Salinité,0.72,0.67,0.67,0.69,0.71,1.25,1.24,1.01,0.67,0.60,0.75,0.91,,,,,,,,,,
