ANNUAL CYCLE OF SEA SURFACE TEMPERATURE AND SALINITY AT CHROME ISLAND AVERAGES COMPUTED WITH A TIME BASE OF 1956 THROUGH 1991,,,,,,,,,,,,,,,,,,,,,,
,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,,,,
Temperature average ( C ),7.0,7.1,7.6,9.0,11.6,14.7,16.7,16.9,14.3,11.2,9.0,7.8,,,,,,,,,,
Temperature Standard Deviation,0.70,0.70,0.62,0.69,0.77,1.19,1.01,1.11,0.87,0.58,0.53,0.52,,,,,,,,,,
Salinity average (PSU),28.4,28.5,28.6,28.7,28.4,26.8,25.8,26.7,27.7,28.6,28.4,28.2,,,,,,,,,,
Salinity Standard Deviation,0.72,0.67,0.67,0.69,0.71,1.25,1.24,1.01,0.67,0.60,0.75,0.91,,,,,,,,,,
