data_name
hotssea_surface_salinity_min
hotssea_surface_salinity_mean
hotssea_surface_salinity_max
hotssea_surface_temperature_min
hotssea_surface_temperature_mean
hotssea_surface_temperature_max
hotssea_avg0to30m_salinity_min
hotssea_avg0to30m_salinity_mean
hotssea_avg0to30m_salinity_max
hotssea_avg0to30m_temperature_min
hotssea_avg0to30m_temperature_mean
hotssea_avg0to30m_temperature_max
hotssea_avg30to150m_salinity_min
hotssea_avg30to150m_salinity_mean
hotssea_avg30to150m_salinity_max
hotssea_avg30to150m_temperature_min
hotssea_avg30to150m_temperature_mean
hotssea_avg30to150m_temperature_max
hotssea_avg150mtoBot_salinity_min
hotssea_avg150mtoBot_salinity_mean
hotssea_avg150mtoBot_salinity_max
hotssea_avg150mtoBot_temperature_min
hotssea_avg150mtoBot_temperature_mean
hotssea_avg150mtoBot_temperature_max
hotssea_bottom_salinity_min
hotssea_bottom_salinity_mean
hotssea_bottom_salinity_max
hotssea_bottom_temperature_min
hotssea_bottom_temperature_mean
hotssea_bottom_temperature_max
