PHARE DE L'ÎLE KAINS: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE,,,,
1990,8.12,7.08,7.84,9.32,10.39,12.50,13.63,14.61,13.73,11.06,9.25,7.44,,,,
1991,7.11,7.38,7.27,8.86,10.23,11.76,12.63,13.35,12.61,11.24,9.76,8.59,,,,
1992,8.02,8.45,9.60,10.34,11.39,12.91,13.31,13.76,12.64,11.83,9.99,8.25,,,,
1993,7.53,7.67,7.98,9.55,11.32,13.15,12.77,14.37,12.08,11.50,9.98,8.44,,,,
1994,8.48,7.82,8.48,9.82,11.02,12.99,13.10,16.15,14.62,11.05,8.91,7.84,,,,
1995,7.81,8.12,8.51,9.75,11.10,12.63,13.73,13.85,14.66,13.26,10.32,8.92,,,,
1996,8.29,8.14,8.59,9.63,10.74,11.94,13.43,13.44,14.42,11.80,9.96,7.75,,,,
1997,7.55,8.32,8.27,9.73,11.82,14.05,14.73,14.56,15.75,13.50,11.46,10.20,,,,
1998,8.83,9.19,9.69,10.43,11.52,12.20,13.89,14.39,13.60,11.37,10.28,8.95,,,,
1999,8.43,7.74,7.64,8.72,9.76,10.74,11.92,13.31,12.10,10.42,9.15,8.67,,,,
2000,7.96,7.67,8.12,9.35,10.20,11.78,13.00,13.39,13.21,11.43,9.47,8.15,,,,
2001,7.84,7.49,8.06,8.90,9.55,11.29,12.34,13.55,12.73,11.02,8.98,7.93,,,,
2002,7.92,7.39,7.48,8.83,10.02,11.83,13.56,13.02,13.64,10.53,10.14,9.02,,,,
2003,8.75,8.85,8.82,9.58,11.14,12.45,13.80,14.28,13.79,12.18,9.35,8.36,,,,
2004,7.99,8.33,8.46,9.53,11.65,13.16,14.72,15.33,14.03,11.42,9.61,8.58,,,,
2005,7.68,8.10,8.59,9.35,12.07,13.01,13.68,14.05,12.96,11.14,9.68,8.98,,,,
2006,8.35,7.90,8.09,9.31,10.84,12.99,13.96,12.80,12.30,10.36,8.62,7.84,,,,
2007,7.30,7.61,7.50,8.64,9.91,11.51,14.38,14.88,13.18,10.65,9.20,7.94,,,,
2008,7.10,7.08,7.29,7.88,9.40,10.72,12.05,13.73,12.18,10.89,9.51,7.59,,,,
2009,6.76,6.66,6.77,7.89,9.71,12.32,12.64,13.13,13.89,11.05,9.23,7.92,,,,
2010,8.29,8.49,8.66,9.33,10.27,11.54,12.03,13.09,13.45,12.10,9.80,8.27,,,,
2011,7.78,7.62,7.64,8.38,9.75,11.25,12.66,13.42,12.59,11.26,9.09,7.54,,,,
2012,6.76,6.69,7.04,8.21,9.38,11.07,12.35,13.21,12.44,10.49,8.90,8.05,,,,
2013,7.90,7.84,7.72,8.66,10.11,12.03,12.40,14.37,14.90,12.06,9.36,7.53,,,,
2014,7.29,6.42,7.26,8.60,12.05,12.11,13.92,14.24,13.92,13.44,10.54,9.77,,,,
2015,9.76,10.04,10.42,10.63,11.72,13.02,14.73,14.75,14.03,12.77,10.00,9.19,,,,
2016,7.72,9.03,9.63,10.79,11.93,13.06,13.89,13.09,13.38,11.64,10.40,9.97,,,,
2017,9.19,7.65,7.38,9.22,11.30,12.34,13.64,14.46,14.54,11.86,8.93,8.53,,,,
2018,8.09,7.72,8.44,9.16,11.64,12.86,13.75,14.02,13.63,11.81,10.57,9.70,,,,
2019,8.36,7.45,8.75,9.90,11.39,12.36,15.87,15.39,15.48,11.90,10.37,8.80,,,,
2020,7.96,7.75,8.00,9.59,11.29,12.38,13.13,14.12,14.76,13.01,9.97,8.51,,,,
2021,8.00,7.50,7.79,8.98,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,,,,
